nombre,codigo,idE
shenyang city public:shanghai jiading city dev,1836,649057
suzhou dongwu:dongguan united,1839,649061
tyumen:torpedo moscow,1840,649063
kissamikos:ofi,592,650005
deportes puerto montt:barnechea,1843,649069
deportes recoleta:csd rangers,1844,649072
zrinjski:fk sloga doboj,1845,649065
baerum:stroemsgodset 2,1849,649070
lyn:aalesund 2,1850,649071
khimki:fc alania vladikavkaz,1851,649075
alta:sk brann 2,1852,649073
helsingor:vendsyssel,1853,649077
elche:fc andorra,1854,649080
club atletico acassuso:los andes,1856,649076
univ cluj:acs sepsi,1857,649081
argentino de merlo:ca argentino de quilmes,1449,649226
canuelas:comunicaciones bsas,1450,649227
club atletico fenix:club atletico colegiales,1451,649229
sacachispas fc:villa san carlos,1453,649230
talleres remedios de  escalada:deportivo armenio,1454,649232
talleres remedios de  escalada:deportivo armenio,1454,649232
club oriental de football:juventud dl piedras,1858,649078
pro vercelli:vicenza,1859,649079
arezzo:cesena,1860,649082
fermana:perugia,1861,649083
gubbio:carrarese,1862,649084
avellino:potenza calcio,1863,649085
villarreal b:espanyol,1864,649086
burton albion:cambridge united,1865,649087
vaca diez:cd real tomayapo,523,649998
avs futebol sad:penafiel,1866,649088
san marcos arica:antofagasta,1869,649089
cobreloa:sl quillota,1868,649090
cd santa cruz:iquique,1867,649091
sant. wanderers:temuco,1870,649092
arsenal sarandi:banfield,554,648583
barracas central:colon santa fe,557,648584
aurora:guabira,524,649999
sportivo ameliano:sportivo luqueno,1871,649028
sport recife:ponte preta,591,648612
velez sarsfield:atl tucuman,558,648585
libertad loja:guayaquil city,1872,649030
blooming:royal pari sion,544,650000
china:vietnam,1956,650186
belgrano:boca juniors,559,648586
latvia:armenia,326,646294
faroe islands:poland,300,646275
cyprus:norway,301,646276
croatia:turkey,302,646277
israel:switzerland,305,646280
albania:czech rep,306,646281
spain:scotland,307,646282
belarus:romania,308,646283
andorra:kosovo,327,646295
colombia:uruguay,311,643528
bolivia:ecuador,310,643527
argentina:paraguay,313,643530
chile:peru,314,643531
brazil:venezuela,312,643529
estonia:azerbaijan,315,646285
holland:france,309,646284
rep of ireland:hellas,316,646286
liechtenstein:bosnia-herzeg.,320,646289
iceland:luxembourg,321,646290
austria:belgium,328,646296
portugal:slovakia,329,646297
n ireland:san marino,303,646278
slovenia:finland,319,646288
bulgaria:lithuania,323,646292
hungary:serbia,304,646279
denmark:kazakhstan,325,646293
cuiaba mt:cruzeiro,582,648604
hwaseong fc:pocheon fc,481,644622
galatasaray:bayern,338,648971
inter:salzburg,352,648990
sevilla:arsenal,339,648972
manchester utd:fc copenhagen,340,648973
braga:real madrid,341,648974
lens:psv eindhoven,342,648975
union berlin:napoli,344,648977
benfica:sociedad,351,648989
barcelona:shakhtar donetsk,345,648978
feyenoord:lazio,346,648979
young boys:manchester city,347,648981
rb leipzig:red star belgr,348,648982
celtic:atletico madrid,349,648983
paris st germain:milan,350,648988
antwerp:porto,334,648993
newcastle:dortmund,343,648994
backa topola:freiburg,353,648995
olympiacos:west ham,354,648996
aris limassol:betis,355,648997
marseille:aek athens,356,648998
sturm graz:atalanta,357,648999
sparta prague:rangers,358,649000
molde:hacken,359,649001
rakow czestochowa:sporting lisbon,360,649002
ki klaksvik:olimpija ljublj,374,649011
lille:slovan bratislava,375,649012
gent:breidablik,376,649013
maccabi tel aviv:zoria luhansk,377,649014
lugano:club brugge,378,649015
fc ballkani:astana,380,649016
fenerbahce:ludogorets,381,649017
az alkmaar:aston villa,382,649019
leverkusen:qarabagh,361,649003
sheriff tiraspol:servette,364,649004
roma:slavia prague,365,649005
panathinaikos:rennes,368,649006
liverpool:toulouse,370,649007
villarreal:maccabi haifa,369,649008
union saint-gilloise:lask linz,372,649009
brighton:ajax,373,649010
spartak trnava:nordsjaelland,383,649018
aberdeen:paok,384,649020
eintracht frankfurt:helsinki,386,649021
fiorentina:cukaricki,387,649022
genk:ferencvaros,388,649023
zrinjski:legia warsaw,389,649024
dinamo zagreb:viktoria plzen,393,649025
bodo glimt:besiktas,392,649026
fortaleza:ldu quito,251,650164
exeter:middlesbrough,362,648434
mansfield:port vale,366,648436
west ham:arsenal,367,648437
everton:burnley,363,648435
chelsea:blackburn,391,648438
bournemouth:liverpool,405,648439
ipswich:fulham,407,648440
manchester utd:newcastle,411,648441
boca juniors:fluminense,200,650165
