nombre,codigo,idE
fc andorra:zaragoza,1132,648363
mirandes:eibar,1133,648366
hacken:qarabagh,275,645200
molde:leverkusen,276,645201
slavia prague:sheriff tiraspol,277,645202
roma:servette,278,645203
maccabi haifa:panathinaikos,279,645204
villarreal:rennes,280,645205
toulouse:lask linz,281,645206
liverpool:union saint-gilloise,282,645207
spartak trnava:fenerbahce,291,645216
nordsjaelland:ludogorets,292,645217
aberdeen:helsinki,293,645218
paok:eintracht frankfurt,294,645219
cukaricki:genk,295,645220
fiorentina:ferencvaros,296,645221
az alkmaar:legia warsaw,298,645222
aston villa:zrinjski,297,645223
maghreb tetouan:fath rabat,1141,648364
atletico palmaflor vinto:vaca diez,1573,648769
atletico palmaflor vinto:vaca diez,1573,648769
cartagena:espanyol,1142,648374
racing ferrol:amorebieta,1143,648376
tigres fc:dep quindio,1144,648370
chapecoense:abc natal,1145,648168
indep medellin:depor cucuta,1146,648162
racing montevideo:nacional,1600,648822
tapatio:cimarrones,1147,648163
cuniburo fc:depor macara,1068,648260
guabira:blooming,1574,648770
palmeiras:boca juniors,206,647687
cancun fc:univ. guadalajara,1149,648164
alianza petrolera:millonarios,1150,648165
alajuelense:cartagines,1151,648167
tepatitlan:club atletico la paz,1152,648169
ps tira:persis solo,1153,648170
rans nusantara:psis semarang,1154,648171
arema indonesia (isl):pusamania borneo fc,1155,648172
dewa united:pss sleman,1156,648173
lamphun warrior:ratchaburi fc,1157,648174
fc polissya:dynamo kiev,1599,648821
uthai thani fc:port fc,1970,648161
al ittihad al sakand:el gouna,1159,648176
kieler sv holstein 1900 ii:hannover 96 (am),1557,649333
al ahli sedab:salalah sc,701,649094
al-khaboora:al etihad,702,649093
al bataeh:al khaleej khor fakkan,703,649095
ittihad kalba:hatta,704,649096
bunyodkor:qizilqum,705,649097
havadar sc:foolad khuzestan,595,650006
zira:pfk turan tovuz,706,649098
fk imt novi beograd:radnik surdulica,709,649100
punjab fc:northeast utd,708,649101
cs constantine:js saoura,710,649102
mc alger:es setif,711,649103
riga:tukums 2000/tss,716,649106
ilves:oulu,713,649107
u craiova 1948 sa:hermanstadt,717,649112
al nassr (riyadh):abha club,715,649113
brno:pribram,718,649114
ruzomberok:zlate moravce,719,649115
al hala:al-najma manama,720,649108
al shabbab (manama):al hidd,721,649109
velez mostar:nk posusje,722,649110
shakhtyor soligorsk:fc smorgon,723,649111
pharco fc:ceramica cleopatra,726,649116
nea salamis:karmiotissa polemidion,725,649117
